Kind,Name,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Class,"DAO.AgendaDAO",1,0,1,26
Public Class,"DAO.AvaliacaoDAO",1,0,1,22
Public Class,"DAO.ConectionFactory",1,0,1,10
Public Class,"DAO.ConsultaDAO",1,0,1,20
Public Class,"DAO.EnderecoDAO",1,0,1,7
Public Class,"DAO.EspecialidadeDAO",1,0,1,13
Public Class,"DAO.HorarioDAO",1,0,1,13
Public Class,"DAO.PacienteDAO",1,0,1,23
Public Class,"DAO.ProcedimentoDAO",1,0,1,13
Public Class,"DAO.ProfissionalDAO",1,0,1,21
Public Class,"DAO.UsuarioDAO",1,0,1,16
Public Class,"clinicalife.ClinicaLife",1,0,1,3
Public Generic Class,"comboBox.GenericComboBox",1,0,2,2
TypeVariable,"comboBox.GenericComboBox.E",1,0,1,0
Public Class,"controller.AgendaController",1,0,1,5
Public Class,"controller.AvaliacaoController",1,0,1,4
Public Class,"controller.ConsultaController",1,0,1,4
Public Class,"controller.EspecialidadeController",1,0,1,4
Public Class,"controller.PacienteController",1,0,1,4
Public Class,"controller.ProcedimentoController",1,0,1,4
Public Class,"controller.ProfissionalController",1,0,1,7
Public Class,"controller.UsuarioController",1,0,1,4
Public Class,"controller.WebServiceCep",1,0,1,8
Private Static Class,"controller.WebServiceCep.IterableElement",1,0,2,3
Private Enum Type,"controller.WebServiceCep.Xml",1,7,1,2
Class,"controller.WebServiceCep.Xml.(Anon_1)",2,0,1,3
Class,"controller.WebServiceCep.Xml.(Anon_2)",2,0,1,3
Class,"controller.WebServiceCep.Xml.(Anon_3)",2,0,1,3
Class,"controller.WebServiceCep.Xml.(Anon_4)",2,0,1,3
Class,"controller.WebServiceCep.Xml.(Anon_5)",2,0,1,4
Class,"controller.WebServiceCep.Xml.(Anon_6)",2,0,1,3
Class,"controller.WebServiceCep.Xml.(Anon_7)",2,0,1,3
Private Static Class,"controller.WebServiceCep.XmlEnums",1,0,1,5
Public Interface,"interfaces.TelaAntecedente",0,7,0,4
Public Class,"model.Agenda",1,0,1,4
Public Class,"model.Avaliacao",1,0,1,4
Public Class,"model.Consulta",1,0,1,2
Public Class,"model.Endereco",1,0,1,1
Public Class,"model.Especialidade",1,0,1,2
Public Class,"model.Formatacao",1,0,1,16
Public Class,"model.Horario",1,0,1,4
Public Class,"model.MD5",1,0,1,5
Public Class,"model.Paciente",1,0,1,3
Public Class,"model.Procedimento",1,0,1,2
Public Class,"model.Profissional",1,0,1,4
Public Class,"model.Usuario",1,0,2,2
Public Class,"model.Validacao",1,0,1,11
Public Class,"tables.AgendaTable",1,0,1,11
Public Class,"tables.AvaliacaoTable",1,0,1,12
